chunk_id	doc_id	heading	damage_classes	clause_type	chunk_len	text
chunk_00026	policy_1_bharat_suraksha	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)		sub_limit	194	[SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)] The insured vehicle shall be treated as a Constructive Total Loss if the aggregate cost of retrieval and repair exceeds 75% of the IDV.
chunk_00027	policy_1_bharat_suraksha	SECTION III. DEDUCTIBLE		sub_limit	277	SECTION III. DEDUCTIBLE The Company shall not be liable for the first Rs. 1,000 of each and every claim under Section I of this policy. This deductible applies to each occurrence independently, including occurrences giving rise to a Total Loss or Constructive Total Loss claim.
chunk_00028	policy_1_bharat_suraksha	SECTION IV. THIRD PARTY LIABILITY		coverage	273	SECTION IV. THIRD PARTY LIABILITY Subject to the limits of liability in the Schedule, the Company will indemnify the insured against all sums the insured becomes legally liable to pay in respect of death of or bodily injury to any person, or damage to third-party property,
chunk_00029	policy_1_bharat_suraksha	SECTION IV. THIRD PARTY LIABILITY		exclusion	322	[SECTION IV. THIRD PARTY LIABILITY] caused by or arising from use of the vehicle, as required under the Motor Vehicles Act. Provided always that the Company shall not be liable for death, injury, or property damage arising beyond the limits of any public carriageway in connection with loading or unloading of the vehicle.
chunk_00030	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS		coverage	295	SECTION V. ADD-ON COVERS Add-On 1: Nil Depreciation Cover (Zero Dep) In the event of a partial loss claim, no depreciation deduction shall apply to the cost of parts replaced, subject to payment of additional premium. This cover is available for vehicles not exceeding 5 years from date of first
chunk_00031	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS	flat_tyre	coverage	301	[SECTION V. ADD-ON COVERS] registration. Add-On 2: Roadside Assistance Emergency towing assistance is provided up to 50 km free of charge in the event of accident or breakdown. Flat tyre replacement using the vehicle's stepney is included. Fuel delivery of up to 5 litres is chargeable at actual cost.
chunk_00032	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS		coverage	283	[SECTION V. ADD-ON COVERS] Add-On 3: Engine Protection Cover Consequential damage to engine parts and gearbox components arising from water ingression due to flood or inundation is covered under this add-on, subject to the claim under Section I being admissible and the vehicle being
chunk_00033	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS		coverage	289	[SECTION V. ADD-ON COVERS] retrieved from the waterlogged area within 72 hours. Exclusion under Engine Protection: Damage to engine or gearbox arising from delay in intimation, from driving the vehicle after it has ingested water, or from gradual corrosion of engine parts, is not covered.
chunk_00034	policy_1_bharat_suraksha	A No Claim Bonus discount is applicable on Own Damage premium at renewal:		exclusion	284	A No Claim Bonus discount is applicable on Own Damage premium at renewal: Claim History NCB Discount on OD Premium 1 claim-free year 20% 2 consecutive claim-free years 25% 3 consecutive claim-free years 35% 4 consecutive claim-free years 45% 5 or more consecutive claim-free years 50%
chunk_00035	policy_1_bharat_suraksha	A No Claim Bonus discount is applicable on Own Damage premium at renewal:		exclusion	160	[A No Claim Bonus discount is applicable on Own Damage premium at renewal:] NCB reverts to 0% at the next renewal if any claim is made during the policy period.
chunk_00036	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		general	223	[SECTION VII. GENERAL CONDITIONS] 1. The insured must give immediate written notice to the Company upon the occurrence of any accidental loss or damage. In the case of theft, immediate notice to the police is also required.
chunk_00037	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		general	152	[SECTION VII. GENERAL CONDITIONS] 2. No admission, offer, or promise of payment shall be made by the insured without the written consent of the Company.
chunk_00038	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		general	152	[SECTION VII. GENERAL CONDITIONS] 3. The insured shall take all reasonable steps to safeguard the vehicle from further loss or damage after an accident.
chunk_00039	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		coverage	195	[SECTION VII. GENERAL CONDITIONS] 4. If a dispute arises as to the quantum payable under this policy, the matter shall be referred to arbitration under the Arbitration and Conciliation Act, 1996.
chunk_00040	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		condition	171	[SECTION VII. GENERAL CONDITIONS] 5. The due observance of all terms, conditions, and endorsements of this policy is a condition precedent to any liability of the Company.
chunk_00041	policy_1_bharat_suraksha	SECTION VIII. CLAIM PROCEDURE		general	249	SECTION VIII. CLAIM PROCEDURE (cid:127) Intimate the claim to the Company within 48 hours of the incident. (cid:127) Do not move or repair the vehicle until a surveyor has been appointed, except for essential emergency repairs not exceeding Rs. 500.
chunk_00042	policy_1_bharat_suraksha	SECTION VIII. CLAIM PROCEDURE		general	242	[SECTION VIII. CLAIM PROCEDURE] exceeding Rs. 500. (cid:127) Submit completed claim form, RC copy, driving licence, FIR (if applicable), and repair estimate. (cid:127) Payment will be made within 7 working days of completion of documentation.
chunk_00043	policy_1_bharat_suraksha	SECTION IX. GENERAL EXCEPTIONS		coverage	266	SECTION IX. GENERAL EXCEPTIONS This policy does not cover loss, damage, or liability arising from nuclear weapons, ionising radiation, war, invasion, civil war, mutiny, or warlike operations. Claims where the vehicle was being used outside the permitted geographical
chunk_00044	policy_1_bharat_suraksha	SECTION IX. GENERAL EXCEPTIONS		exclusion	332	[SECTION IX. GENERAL EXCEPTIONS] area, or in violation of the Driver's Clause, are also excluded. Insurance is the subject matter of solicitation. Please read all terms and conditions carefully. This is a synthetic specimen policy issued for educational and research purposes only and does not constitute a valid insurance contract.
chunk_00045	policy_2_safedrive_assurance			coverage	247	SAFEDRIVE ASSURANCE CORPORATION PRIVATE MOTOR VEHICLE OWN DAMAGE POLICY Standalone Own Damage Cover with Nil Depreciation Add-On This policy document sets out the full terms and conditions of the insurance contract between the insured named in the
chunk_00046	policy_2_safedrive_assurance			general	138	Schedule and SafeDrive Assurance Corporation. The Schedule, this document, and any endorsements together form the entire policy agreement.
chunk_00047	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:		coverage	291	We will pay for physical loss or damage to your vehicle caused by: (cid:127) Fire, explosion, lightning, or self-ignition. (cid:127) Theft, burglary, or housebreaking. (cid:127) Riots, strikes, or civil disturbance. (cid:127) Earthquake, flood, cyclone, hailstorm, or other natural calamity.
chunk_00048	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,scratch	coverage	342	[We will pay for physical loss or damage to your vehicle caused by:] (cid:127) Physical impact damage caused by collision with another vehicle, animal, or fixed object, resulting in dents to panels, bumpers, or wheel arches. (cid:127) Surface damage including paint and body abrasions arising from collision, intentional acts, or contact with
chunk_00049	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,crack	coverage	276	[We will pay for physical loss or damage to your vehicle caused by:] abrasive surfaces where an identifiable accidental event can be established. (cid:127) Structural fractures to body panels, bumpers, and exterior trim resulting from impact, collision, or accidental contact.
chunk_00050	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,broken_lamp,shattered_glass	coverage	354	[We will pay for physical loss or damage to your vehicle caused by:] contact. (cid:127) Damage to lighting units including headlamp assemblies, tail lamp clusters, fog lamps, indicator units, and reflectors, caused by impact or accident. (cid:127) Windscreen, rear windscreen, and door window glass damage - glass is covered at nil depreciation. The full
chunk_00051	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	296	[We will pay for physical loss or damage to your vehicle caused by:] cost of windscreen replacement is payable without any deduction for the age of the vehicle. (cid:127) Landslide or rockslide. (cid:127) Transit damage during transportation by road, rail, or sea. PART A1. GLASS COVERAGE DETAILS
chunk_00052	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	330	[We will pay for physical loss or damage to your vehicle caused by:] PART A1. GLASS COVERAGE DETAILS Glass components of the vehicle including the front windscreen, rear windscreen, quarter glass panels, and door windows are covered without any depreciation deduction regardless of vehicle age. This means the full invoice cost of
chunk_00053	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	134	[We will pay for physical loss or damage to your vehicle caused by:] glass replacement at an authorised service centre is recoverable.
chunk_00054	policy_2_safedrive_assurance	What is NOT covered under glass:	shattered_glass	coverage	212	What is NOT covered under glass: (cid:127) Internal rear-view mirror glass that is not part of the vehicle's main glazing. (cid:127) Sunroof and panoramic roof glass, unless specifically endorsed on the Schedule.
chunk_00055	policy_2_safedrive_assurance	What is NOT covered under glass:	scratch,shattered_glass	coverage	327	[What is NOT covered under glass:] (cid:127) Superficial glass scratches or micro-abrasions that do not constitute a break or chip. (cid:127) Glass damage sustained while the vehicle is in commercial transit not covered under this policy. (cid:127) Tinted film or protective coatings applied to glass after vehicle manufacture.
chunk_00056	policy_2_safedrive_assurance	What is NOT covered under glass:	shattered_glass,flat_tyre	coverage	293	[What is NOT covered under glass:] PART A2. TYRE COVERAGE DETAILS Tyre damage is covered subject to a deduction of 50% of the cost of replacement of the damaged tyre and tube. This cover applies only if the vehicle itself has also sustained damage in the same incident. Stand-alone tyre claims
chunk_00057	policy_2_safedrive_assurance	What is NOT covered under glass:	dent,shattered_glass	coverage	93	[What is NOT covered under glass:] without concurrent vehicle body damage are not admissible.
chunk_00058	policy_2_safedrive_assurance	What is NOT covered for tyres:	crack,flat_tyre	coverage	220	What is NOT covered for tyres: (cid:127) Tyre wear, sidewall cracking from age, or tread depth below 1.6mm (legal minimum). (cid:127) Damage to run-flat tyres used beyond the manufacturer's specified zero-pressure range.
chunk_00059	policy_2_safedrive_assurance	What is NOT covered for tyres:	flat_tyre	coverage	250	[What is NOT covered for tyres:] (cid:127) Tyre damage when the vehicle was being used for illegal racing, rallying, or off-road purposes not permitted under the policy. (cid:127) Damage to tyre valves alone, without accompanying tyre or tube damage.
chunk_00060	policy_2_safedrive_assurance	What is NOT covered for tyres:	flat_tyre	coverage	158	[What is NOT covered for tyres:] (cid:127) Gradual deterioration of tyre compound from UV exposure, ozone degradation, or age. SAFEDRIVE ASSURANCE CORPORATION
chunk_00061	policy_2_safedrive_assurance	PART B. NIL DEPRECIATION ADD-ON (INCLUDED IN THIS POLICY)		sub_limit	287	PART B. NIL DEPRECIATION ADD-ON (INCLUDED IN THIS POLICY) This policy includes Nil Depreciation cover as a standard feature for vehicles not exceeding 3 years from the date of first registration. For vehicles aged 3 to 5 years, a 75% waiver of applicable depreciation is provided. No nil
chunk_00062	policy_2_safedrive_assurance	PART B. NIL DEPRECIATION ADD-ON (INCLUDED IN THIS POLICY)		sub_limit	293	[PART B. NIL DEPRECIATION ADD-ON (INCLUDED IN THIS POLICY)] depreciation benefit is available for vehicles older than 5 years. Age of Vehicle % of Depreciation Vehicle age up to 3 years Nil depreciation (100% parts cost recoverable) Vehicle age 3 to 5 years 75% waiver of standard depreciation
chunk_00063	policy_2_safedrive_assurance	PART B. NIL DEPRECIATION ADD-ON (INCLUDED IN THIS POLICY)		sub_limit	135	[PART B. NIL DEPRECIATION ADD-ON (INCLUDED IN THIS POLICY)] Vehicle age exceeding 5 years Standard depreciation applies as per schedule
chunk_00064	policy_2_safedrive_assurance	The following are excluded from this policy:		exclusion	44	The following are excluded from this policy:
chunk_00065	policy_2_safedrive_assurance	The following are excluded from this policy:		exclusion	199	[The following are excluded from this policy:] 1. Consequential financial loss, loss of use, or reduction in market value of the vehicle following an accident, even if the physical damage is covered.
chunk_00066	policy_2_safedrive_assurance	The following are excluded from this policy:	dent,scratch	exclusion	215	[The following are excluded from this policy:] 2. Panel dents, scratches, or marks arising from gradual accumulation of minor incidents over time where no single identifiable accident can be attributed as the cause.
chunk_00067	policy_2_safedrive_assurance	The following are excluded from this policy:	scratch	exclusion	172	[The following are excluded from this policy:] 3. Scratch damage resulting from routine washing and cleaning activities of the vehicle, classified under fair wear and tear.
chunk_00068	policy_2_safedrive_assurance	The following are excluded from this policy:	crack	exclusion	176	[The following are excluded from this policy:] 4. Cracks in engine mountings, chassis members, or structural frame components arising from metal fatigue or prolonged vibration.
chunk_00069	policy_2_safedrive_assurance	The following are excluded from this policy:	broken_lamp	exclusion	202	[The following are excluded from this policy:] 5. Lamp malfunction due to electrical failure, water ingression through an undamaged seal, or simple bulb failure without physical damage to the lamp body.
chunk_00070	policy_2_safedrive_assurance	The following are excluded from this policy:	broken_lamp	exclusion	194	[The following are excluded from this policy:] 6. Corrosion of lamp housings or lighting units from long-term exposure to the elements, classified as deterioration rather than accidental damage.
chunk_00071	policy_2_safedrive_assurance	The following are excluded from this policy:	dent,broken_lamp,shattered_glass	exclusion	188	[The following are excluded from this policy:] 7. Glass haze, delamination, or yellowing of polycarbonate headlamp covers from UV exposure over time, not caused by a specific impact event.
chunk_00072	policy_2_safedrive_assurance	The following are excluded from this policy:	flat_tyre	exclusion	158	[The following are excluded from this policy:] 8. Damage to tyres used beyond their rated load index or speed rating as specified by the vehicle manufacturer.
chunk_00073	policy_2_safedrive_assurance	The following are excluded from this policy:	flat_tyre	exclusion	184	[The following are excluded from this policy:] 9. Any claim where the vehicle was driven with a tyre already known to be flat or significantly underinflated at the time of the journey.
chunk_00074	policy_2_safedrive_assurance	The following are excluded from this policy:		exclusion	209	[The following are excluded from this policy:] 10. Mechanical or electrical breakdown of any component, including the engine, gearbox, suspension, or braking system, unless caused directly by an insured peril.
chunk_00075	policy_2_safedrive_assurance	PART D. INSURED DECLARED VALUE (IDV)		sub_limit	288	PART D. INSURED DECLARED VALUE (IDV) Your vehicle's IDV represents the maximum we will pay in the event of a total loss or theft. It is calculated at the start of the policy using the manufacturer's list price reduced by depreciation based on vehicle age: Age of Vehicle % of Depreciation
chunk_00076	policy_2_safedrive_assurance	PART D. INSURED DECLARED VALUE (IDV)		sub_limit	336	[PART D. INSURED DECLARED VALUE (IDV)] Age of Vehicle % of Depreciation Not exceeding 6 months 5% Exceeding 6 months but not exceeding 1 year 15% Exceeding 1 year but not exceeding 2 years 20% Exceeding 2 years but not exceeding 3 years 30% Exceeding 3 years but not exceeding 4 years 40% Exceeding 4 years but not exceeding 5 years 50%
chunk_00077	policy_2_safedrive_assurance	PART D. INSURED DECLARED VALUE (IDV)		sub_limit	118	[PART D. INSURED DECLARED VALUE (IDV)] A claim will be settled as Total Loss if the cost of repair exceeds 75% of IDV.
chunk_00078	policy_2_safedrive_assurance	PART E. DEDUCTIBLE		sub_limit	283	PART E. DEDUCTIBLE You are responsible for the first Rs. 2,000 of each own damage claim under Part A of this policy. This compulsory excess applies per occurrence. An optional voluntary excess of Rs. 1,000, Rs. 2,000, or Rs. 5,000 may be selected at inception for a premium discount.
chunk_00079	policy_2_safedrive_assurance	PART F. NO CLAIM BONUS		exclusion	252	PART F. NO CLAIM BONUS Claim History NCB at Renewal NCB if Claim Made 0 claims in preceding year 20% 0% 0 claims in preceding 2 years 25% 0% 0 claims in preceding 3 years 35% 0% 0 claims in preceding 4 years 45% 0% 0 claims in preceding 5+ years 50% 0%
chunk_00080	policy_2_safedrive_assurance	PART G. HOW TO MAKE A CLAIM		general	273	PART G. HOW TO MAKE A CLAIM (cid:127) Contact our 24-hour claims helpline within 24 hours of the incident. (cid:127) Do not authorise repairs above Rs. 500 without our written approval. (cid:127) Submit your claim form, vehicle documents, and repair estimate within 7 days.
chunk_00081	policy_2_safedrive_assurance	PART G. HOW TO MAKE A CLAIM		general	104	[PART G. HOW TO MAKE A CLAIM] (cid:127) Payment is processed within 5 working days of survey completion.
chunk_00082	policy_2_safedrive_assurance	PART H. GENERAL EXCEPTIONS		coverage	241	PART H. GENERAL EXCEPTIONS This policy does not cover any loss arising from: war, nuclear risk, use of vehicle in violation of permit conditions, driving without a valid licence, or use of the vehicle outside the permitted geographical area.
chunk_00083	policy_2_safedrive_assurance	PART H. GENERAL EXCEPTIONS		general	171	[PART H. GENERAL EXCEPTIONS] This is a synthetic specimen policy document created for research and educational purposes. It does not constitute a valid insurance contract.
chunk_00084	policy_3_quickclaim_general			coverage	270	QUICKCLAIM GENERAL INSURANCE LIMITED MOTOR VEHICLE PACKAGE POLICY - SCHEDULE OF TERMS AND CONDITIONS Comprehensive Own Damage and Compulsory Third Party Cover The insured, having submitted a duly completed proposal form, is hereby granted insurance by QuickClaim General
chunk_00085	policy_3_quickclaim_general			exclusion	199	Insurance Limited, subject to the terms, exclusions, conditions, and limitations set forth herein. The Schedule attached forms an integral part of this contract. OPERATIVE CLAUSE - OWN DAMAGE SECTION
chunk_00086	policy_3_quickclaim_general			coverage	149	OPERATIVE CLAUSE - OWN DAMAGE SECTION The Company undertakes to indemnify the insured in respect of accidental loss or damage to the vehicle insured,
chunk_00087	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:		general	274	arising from and directly caused by the following events during the policy period: (cid:127) Fire, self-ignition, lightning, explosion. (cid:127) Theft, robbery, or wrongful abstraction. (cid:127) Riot, strike, or civil commotion. (cid:127) Earthquake fire and shock damage.
chunk_00088	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	dent	general	377	[arising from and directly caused by the following events during the policy period:] (cid:127) Flood, cyclone, hurricane, inundation, hailstorm. (cid:127) Damage arising from accidental contact with another vehicle or stationary object, resulting in deformation of body panels, wheel arches, bumpers, and associated exterior surfaces. This includes dents of all sizes caused by
chunk_00089	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	scratch	general	345	[arising from and directly caused by the following events during the policy period:] such contact. (cid:127) Damage arising from contact with abrasive surfaces or deliberate acts amounting to malicious mischief, where an act by an identifiable third party can be established and where the damage manifests as surface scratches or paint abrasion.
chunk_00090	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	dent,scratch,crack	general	351	[arising from and directly caused by the following events during the policy period:] scratches or paint abrasion. (cid:127) Damage to plastic, composite, or metal components resulting in fracture or structural breach, caused directly by impact from an insured peril, specifically including cracks to bumpers, wheel arch liners, door panels, and sills.
chunk_00091	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	dent,crack,broken_lamp,shattered_glass	general	379	[arising from and directly caused by the following events during the policy period:] and sills. (cid:127) Destruction or breakage of headlamps, tail lamps, indicator assemblies, and auxiliary lamps caused directly by mechanical impact during an insured event. (cid:127) Shattering, cracking, or breaking of any glass component of the vehicle, including the front windscreen, rear
chunk_00092	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	shattered_glass,flat_tyre	general	288	[arising from and directly caused by the following events during the policy period:] windscreen, and side door glass. Glass is indemnified at actual replacement cost without depreciation deduction. (cid:127) Landslide, rockslide. (cid:127) Transit damage. SPECIAL CONDITIONS - TYRE DAMAGE
chunk_00093	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	flat_tyre	coverage	350	[arising from and directly caused by the following events during the policy period:] SPECIAL CONDITIONS - TYRE DAMAGE Loss or damage to tyres and inner tubes is covered subject to a deduction of 50% of the cost of replacement, provided that the vehicle insured has sustained concurrent physical damage in the same incident. Coverage under this clause
chunk_00094	policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:		exclusion	339	[arising from and directly caused by the following events during the policy period:] is conditional upon the simultaneous presence of other admissible damage to the vehicle body. SCHEDULE OF EXCLUDED LOSSES AND LIABILITIES Notwithstanding the operative clause above, the Company shall in no event be liable under this policy for any of the
chunk_00095	policy_3_quickclaim_general	A. Exclusions Relating to Panel and Body Damage	dent	exclusion	230	A. Exclusions Relating to Panel and Body Damage A1. Dents or deformations of body panels arising from metal fatigue, long-term vibration stress, or corrosion from within, even where the resulting deformation is externally visible.
chunk_00096	policy_3_quickclaim_general	A. Exclusions Relating to Panel and Body Damage	dent,scratch	exclusion	349	[A. Exclusions Relating to Panel and Body Damage] A2. Panel damage attributable to overloading of the vehicle beyond the manufacturer's gross vehicle weight rating, where such overloading is the proximate cause. A3. Dents or scratches on body components that existed prior to the inception of this policy, as documented in the pre-inspection report.
